               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085051,            0.028233,            0.053439,             0.13348,             0.08189,            0.020583,             0.00623,            0.068203,            0.017904,            0.046764,            0.070119,           0.0033202,           0.0033202
                   1,            0.057711,            0.021054,            0.034014,             0.60263,             0.20305,             0.16235,            0.070054,            0.054697,            0.012902,            0.034769,            0.040053,           0.0065876,           0.0065876
                   2,            0.054222,            0.017757,             0.02554,             0.27662,             0.36897,             0.27735,             0.12758,            0.050494,             0.01088,             0.02706,           0.0099208,           0.0097891,           0.0097891
                   3,            0.048478,            0.015688,            0.020668,             0.42372,             0.40462,             0.37659,             0.18301,             0.04814,            0.010651,            0.024984,            0.009703,            0.009703,            0.009703
                   4,             0.04387,            0.014447,            0.018398,             0.49723,             0.45618,             0.46974,             0.25437,            0.041163,           0.0093886,             0.02152,            0.009703,            0.009703,            0.009703
                   5,             0.04095,             0.01377,            0.016429,             0.56258,             0.50361,             0.52859,             0.29062,            0.040331,            0.008672,            0.019241,            0.009604,            0.009604,            0.009604
                   6,            0.039481,            0.012977,            0.014637,             0.63406,             0.50576,             0.55902,             0.31019,            0.040047,           0.0082341,            0.017622,            0.009505,            0.009505,            0.009505
                   7,            0.037788,             0.01257,            0.012803,              0.6452,             0.57736,             0.62454,             0.36408,            0.037036,           0.0078837,            0.015596,            0.009406,            0.009406,            0.009406
                   8,             0.03667,             0.01224,            0.011412,             0.72869,             0.55401,              0.6196,             0.35235,            0.037045,           0.0079634,            0.016084,            0.009307,            0.009307,            0.009307
                   9,            0.035968,            0.011773,            0.010751,             0.72985,             0.55685,             0.63531,             0.36421,            0.036908,           0.0077646,            0.014268,            0.009208,            0.009208,            0.009208
                  10,            0.034242,            0.011771,            0.010103,             0.72884,             0.60763,             0.67382,             0.39192,             0.03719,           0.0073919,            0.013372,            0.009109,            0.009109,            0.009109
